"~id","~start_node_id","~end_node_id","~relationship_type"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474790","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:38","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:11","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606847013","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:37","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:38","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:6917529027641081895","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:37","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:39","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474791","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:39","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:11","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:6917530127152709643","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:59","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:11","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152924803141730315","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:11","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:13","SUPPORTED_BY"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1155173304420532225","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:59","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606846980","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:4","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:5","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1155173304420532228","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:4","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:74","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606847049","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:73","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:74","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474826","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:74","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:75","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152923703630102603","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:75","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:76","ALLEVIATES"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152924803141730379","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:75","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:77","SUPPORTED_BY"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474757","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:5","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:49","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474768","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:16","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:49","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:6917529027641081872","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:7","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:16","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152923703630102539","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:11","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:12","ALLEVIATES"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606846976","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:0","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:57","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606847032","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:56","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:57","CONTAINS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474809","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:57","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:49","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152922604118474800","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:48","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:49","TRIGGERS"
"5:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:1152921504606847023","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:47","4:48edc0c9-6c3c-47e4-86a3-a34ee0bf6e64:48","CONTAINS"
